RTO,Maker,BIO-CNG/BIO-GAS_diff,BIO-DIESEL(B100)_diff,BIO-METHANE_diff,CNG ONLY_diff,DIESEL_diff,DIESEL/HYBRID_diff,DI-METHYL ETHER_diff,DUAL DIESEL/BIO CNG_diff,DUAL DIESEL/CNG_diff,DUAL DIESEL/LNG_diff,ELECTRIC(BOV)_diff,ETHANOL_diff,FLEX-FUEL(BIO-DIESEL)_diff,FLEX-FUEL(ETHANOL)_diff,FUEL CELL HYDROGEN_diff,HCNG_diff,HYDROGEN(ICE)_diff,LNG_diff,LPG ONLY_diff,METHANOL_diff,NOT APPLICABLE_diff,PETROL_diff,PETROL/CNG_diff,PETROL(E20)/CNG_diff,PETROL(E20)/HYBRID_diff,PETROL(E20)/HYBRID/CNG_diff,PETROL(E20)/LPG_diff,PETROL/ETHANOL_diff,PETROL/HYBRID_diff,PETROL/HYBRID/CNG_diff,PETROL/LPG_diff,PETROL/METHANOL_diff,PLUG-IN HYBRID EV_diff,PURE EV_diff,SOLAR_diff,STRONG HYBRID EV_diff,Total_diff
ALANGUDI,HONDA CARS INDIA LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,7
ALANGUDI,HYUNDAI MOTOR INDIA LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,3,0,0,12
ALANGUDI,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
ALANGUDI,MAHINDRA & MAHINDRA LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ALANGUDI,MARUTI SUZUKI INDIA LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
ALANGUDI,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALANGUDI,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,HONDA CARS INDIA LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,HYUNDAI MOTOR INDIA LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,MAHINDRA & MAHINDRA LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,MARUTI SUZUKI INDIA LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,NISSAN MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,STELLANTIS AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI RTO,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANTHANGI,HONDA CARS INDIA LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
